VNM,Buon Me Thuot,65099.5
BGD,Rajshahi,39577.1
PHL,Baguio City,38279.3
BGD,Rangpur,35309.6
IDN,Cirebon,34559.3
PHL,Cagayan de Oro,30964.2
IDN,Sukabumi,27221.6
VNM,Haiphong,27213.1
IDN,Pematangsiantar,26221.5
IDN,Tasikmalaya,24184.7
IDN,Bandung,23213.3
THA,Chiang Mai,15497.8
IDN,Bengkulu,11739.4
MYS,Malacca,11646.2
IDN,Surakarta,11605.3
VNM,Hanoi,11062.5
VNM,Rach Gia,10930.9
IDN,Medan,10060.6
MMR,Naypyidaw,9532.07
VNM,Qui Nhon,9304.82
IDN,Jember,9231.37
PHL,Angeles,7795.27
BGD,Chittagong,5849.49
BGD,Khulna,5356.85
MYS,Kuantan,4576.84
IDN,Denpasar,4556.21
MMR,Mandalay,3411.51
BGD,Comilla,3317.39
MYS,Seremban,3239.73
IDN,Bukittinggi,3018.04
MMR,Bago,2695.59
VNM,Long Xuyen,2084.51
PHL,Olongapo,1942.86
IDN,Gorontalo,1890.35
IDN,Semarang,1707.82
PHL,Iligan,1538.76
IDN,Jambi,1531.36
MYS,Kuala Lumpur,1126.06
MYS,Kota Baharu,901.465
VNM,Viet Tri,810.104
PHL,Naga,806.081
PHL,Iloilo,644.441
PHL,Davao,581.108
IDN,Bogor,537.669
IDN,Padang,350.768
IDN,Samarinda,333.731
PHL,General Santos,278.569
PHL,Batangas,173.709
IDN,Banda Aceh,120.49
MYS,Ipoh,87.1579
VNM,Thai Nguyen,76.3179
MYS,Kota Kinabalu,17.8349
MYS,Tawau,9.87931
